"ENSEMBL","HGNC"
"ENSG00000000457","SCYL3"
"ENSG00000003987","MTMR7"
"ENSG00000004059","ARF5"
"ENSG00000004139","SARM1"
"ENSG00000004478","FKBP4"
"ENSG00000006007","GDE1"
"ENSG00000006530","AGK"
"ENSG00000008516","MMP25"
"ENSG00000013293","SLC7A14"
"ENSG00000018510","AGPS"
"ENSG00000029534","ANK1"
"ENSG00000033100","CHPF2"
"ENSG00000034510","TMSB10"
"ENSG00000037757","MRI1"
"ENSG00000040199","PHLPP2"
"ENSG00000055070","SZRD1"
"ENSG00000055813","CCDC85A"
"ENSG00000056972","TRAF3IP2"
"ENSG00000063180","CA11"
"ENSG00000064309","CDON"
"ENSG00000064703","DDX20"
"ENSG00000065183","WDR3"
"ENSG00000065911","MTHFD2"
"ENSG00000066136","NFYC"
"ENSG00000069667","RORA"
"ENSG00000070269","TMEM260"
"ENSG00000070614","NDST1"
"ENSG00000071246","VASH1"
"ENSG00000072195","SPEG"
"ENSG00000072682","P4HA2"
"ENSG00000076351","SLC46A1"
"ENSG00000076382","SPAG5"
"ENSG00000077063","CTTNBP2"
"ENSG00000078098","FAP"
"ENSG00000078967","UBE2D4"
"ENSG00000079277","MKNK1"
"ENSG00000079385","CEACAM1"
"ENSG00000079435","LIPE"
"ENSG00000083312","TNPO1"
"ENSG00000085999","RAD54L"
"ENSG00000087269","NOP14"
"ENSG00000088727","KIF9"
"ENSG00000089159","PXN"
"ENSG00000090376","IRAK3"
"ENSG00000091409","ITGA6"
"ENSG00000091879","ANGPT2"
"ENSG00000092871","RFFL"
"ENSG00000095380","NANS"
"ENSG00000096063","SRPK1"
"ENSG00000099308","MAST3"
"ENSG00000099364","FBXL19"
"ENSG00000099385","BCL7C"
"ENSG00000099822","HCN2"
"ENSG00000100027","YPEL1"
"ENSG00000100092","SH3BP1"
"ENSG00000100462","PRMT5"
"ENSG00000100473","COCH"
"ENSG00000100721","TCL1A"
"ENSG00000101074","R3HDML"
"ENSG00000101473","ACOT8"
"ENSG00000102452","NALCN"
"ENSG00000103351","CLUAP1"
"ENSG00000103363","ELOB"
"ENSG00000103522","IL21R"
"ENSG00000103550","KNOP1"
"ENSG00000103978","TMEM87A"
"ENSG00000104643","MTMR9"
"ENSG00000104814","MAP4K1"
"ENSG00000105298","CACTIN"
"ENSG00000105402","NAPA"
"ENSG00000105499","PLA2G4C"
"ENSG00000105677","TMEM147"
"ENSG00000105679","GAPDHS"
"ENSG00000105701","FKBP8"
"ENSG00000105810","CDK6"
"ENSG00000106069","CHN2"
"ENSG00000106078","COBL"
"ENSG00000107560","RAB11FIP2"
"ENSG00000107669","ATE1"
"ENSG00000107872","FBXL15"
"ENSG00000108592","FTSJ3"
"ENSG00000108829","LRRC59"
"ENSG00000109118","PHF12"
"ENSG00000110075","PPP6R3"
"ENSG00000110092","CCND1"
"ENSG00000110344","UBE4A"
"ENSG00000111341","MGP"
"ENSG00000111596","CNOT2"
"ENSG00000111664","GNB3"
"ENSG00000111725","PRKAB1"
"ENSG00000112276","BVES"
"ENSG00000112394","SLC16A10"
"ENSG00000113088","GZMK"
"ENSG00000113140","SPARC"
"ENSG00000113448","PDE4D"
"ENSG00000113889","KNG1"
"ENSG00000115561","CHMP3"
"ENSG00000116147","TNR"
"ENSG00000116221","MRPL37"
"ENSG00000117091","CD48"
"ENSG00000117602","RCAN3"
"ENSG00000117859","OSBPL9"
"ENSG00000118094","TREH"
"ENSG00000118503","TNFAIP3"
